Time,GLUE_mean,Upper_bound,Lower_bound
164.000000,1.377692,2.044296,0.445167
165.000000,1.247046,1.897386,0.342880
166.000000,1.137397,1.776644,0.251259
167.000000,1.162993,1.787645,0.273162
168.000000,1.406170,2.053360,0.480880
169.000000,1.797792,2.486498,0.815387
170.000000,2.314495,3.049014,1.248467
171.000000,3.012800,3.825795,1.825902
172.000000,3.585254,4.479536,2.300057
173.000000,3.519898,4.427379,2.219331
174.000000,3.072634,3.966751,1.827468
175.000000,2.758351,3.618837,1.567197
176.000000,2.487337,3.315305,1.350634
177.000000,2.111948,2.886719,1.035825
178.000000,1.823394,2.564142,0.795560
179.000000,1.749807,2.467467,0.744203
180.000000,1.674457,2.379460,0.688384
181.000000,1.499263,2.182565,0.544601
182.000000,1.325164,1.986117,0.406247
183.000000,1.093156,1.732852,0.216795
184.000000,0.867597,1.479777,0.029040
185.000000,0.792800,1.376216,-0.039688
186.000000,1.171201,1.772711,0.291782
187.000000,1.385435,2.023391,0.479727
188.000000,0.900308,1.516870,0.056246
189.000000,0.695700,1.280739,-0.121487
190.000000,0.727113,1.297707,-0.083752
191.000000,0.834089,1.413269,0.005782
192.000000,1.601556,2.249451,0.660560
193.000000,4.400711,5.329188,3.019427
194.000000,8.263104,9.523295,6.370083
195.000000,10.901720,12.327640,8.732556
196.000000,12.341155,13.760019,10.083130
197.000000,12.868899,14.285114,10.618934
198.000000,12.582221,13.970821,10.355556
199.000000,11.384338,12.778309,9.246932
200.000000,9.603984,10.984786,7.554686
